"","A1","B2","C3","D4","E5","F6","G7","H8","I9","J10","K11","L12","M13","N14","O15","P16","Q17","R18","S19","T20","U21","V22","W23","X24","Y25","Z26","NA27","NA28","NA29","NA30","NA31","NA32","NA33","NA34","NA35","NA36","NA37","NA38","NA39","NA40","NA41","NA42","NA43","NA44","NA45","NA46","NA47","NA48","NA49","NA50","NA51"
"34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"35","P10_1_CEL","Total_Total_f","Total_Total_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHIjos_Casado con hijos_f","EdocivilHIjos_Casado con hijos_pct","EdocivilHIjos_Casado sin hijos_f","EdocivilHIjos_Casado sin hijos_pct","EdocivilHIjos_Soltero con Hijos_f","EdocivilHIjos_Soltero con Hijos_pct","EdocivilHIjos_Soltero sin HIjos_f","EdocivilHIjos_Soltero sin HIjos_pct","EdocivilHIjos_No contestó_f","EdocivilHIjos_No contestó_pct"
"36","1","340","30.5","162","29.4","178","31.6","0","NaN","64","30.6","60","27.3","73","27.8","76","30.4","67","38.7","0","NaN","68","28.2","132","32","72","25.4","68","38.2","43","18.1","30","16.8","103","64.8","52","28.4","70","39.5","42","23.3","75","17.5","72","23.7","55","59.1","138","47.8","0","NaN"
"37","2","493","44.2","254","46.1","239","42.4","0","NaN","75","35.9","100","45.5","113","43","121","48.4","84","48.6","0","NaN","93","38.6","207","50.2","134","47.2","59","33.1","112","47.3","100","55.9","35","22","81","44.3","72","40.7","93","51.7","214","49.9","207","68.1","22","23.7","50","17.3","0","NaN"
"38","3","192","17.2","92","16.7","100","17.7","0","NaN","40","19.1","45","20.5","54","20.5","38","15.2","15","8.7","0","NaN","49","20.3","55","13.3","56","19.7","32","18","48","20.3","33","18.4","14","8.8","39","21.3","25","14.1","33","18.3","102","23.8","19","6.2","11","11.8","60","20.8","0","NaN"
"39","4 o más","90","8.1","43","7.8","47","8.3","0","NaN","30","14.4","15","6.8","23","8.7","15","6","7","4","0","NaN","31","12.9","18","4.4","22","7.7","19","10.7","34","14.3","16","8.9","7","4.4","11","6","10","5.6","12","6.7","38","8.9","6","2","5","5.4","41","14.2","0","NaN"
"40","Total","1115","100","551","100","564","100","0","NaN","209","100","220","100","263","100","250","100","173","100","0","NaN","241","100","412","100","284","100","178","100","237","100","179","100","159","100","183","100","177","100","180","100","429","100","304","100","93","100","289","100","0","NaN"
"41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"42","P10_1_TABLET","Total_Total_f","Total_Total_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHIjos_Casado con hijos_f","EdocivilHIjos_Casado con hijos_pct","EdocivilHIjos_Casado sin hijos_f","EdocivilHIjos_Casado sin hijos_pct","EdocivilHIjos_Soltero con Hijos_f","EdocivilHIjos_Soltero con Hijos_pct","EdocivilHIjos_Soltero sin HIjos_f","EdocivilHIjos_Soltero sin HIjos_pct","EdocivilHIjos_No contestó_f","EdocivilHIjos_No contestó_pct"
"43","1","105","86.8","52","83.9","53","89.8","0","NaN","28","77.8","21","80.8","29","90.6","19","100","8","100","0","NaN","29","93.5","41","89.1","28","82.4","7","70","21","87.5","8","88.9","9","100","14","82.4","32","91.4","21","77.8","45","81.8","26","92.9","7","100","27","87.1","0","NaN"
