"","A1","B2","C3","D4","E5","F6","G7","H8","I9","J10","K11","L12","M13","N14","O15","P16","Q17","R18","S19","T20","U21","V22","W23","X24","Y25","Z26","NA27","NA28","NA29","NA30","NA31","NA32","NA33","NA34","NA35","NA36","NA37","NA38","NA39","NA40","NA41","NA42","NA43","NA44","NA45","NA46","NA47","NA48","NA49","NA50","NA51"
"50","1","11","61.1","6","60","5","62.5","0","NaN","4","50","3","60","3","100","1","50","0","NaN","0","NaN","4","57.1","3","60","4","80","0","0","5","71.4","0","NaN","0","NaN","2","66.7","3","42.9","1","100","3","75","1","33.3","2","100","5","55.6","0","NaN"
"51","2","5","27.8","3","30","2","25","0","NaN","3","37.5","2","40","0","0","0","0","0","NaN","0","NaN","1","14.3","2","40","1","20","1","100","1","14.3","0","NaN","0","NaN","1","33.3","3","42.9","0","0","1","25","2","66.7","0","0","2","22.2","0","NaN"
"52","3","2","11.1","1","10","1","12.5","0","NaN","1","12.5","0","0","0","0","1","50","0","NaN","0","NaN","2","28.6","0","0","0","0","0","0","1","14.3","0","NaN","0","NaN","0","0","1","14.3","0","0","0","0","0","0","0","0","2","22.2","0","NaN"
"53","4 o más","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","NaN","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"54","Total","18","100","10","100","8","100","0","NaN","8","100","5","100","3","100","2","100","0","NaN","0","NaN","7","100","5","100","5","100","1","100","7","100","0","NaN","0","NaN","3","100","7","100","1","100","4","100","3","100","2","100","9","100","0","NaN"
"55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"56","P10_quienUsaCEL","Total_Total_f","Total_Total_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHIjos_Casado con hijos_f","EdocivilHIjos_Casado con hijos_pct","EdocivilHIjos_Casado sin hijos_f","EdocivilHIjos_Casado sin hijos_pct","EdocivilHIjos_Soltero con Hijos_f","EdocivilHIjos_Soltero con Hijos_pct","EdocivilHIjos_Soltero sin HIjos_f","EdocivilHIjos_Soltero sin HIjos_pct","EdocivilHIjos_No contestó_f","EdocivilHIjos_No contestó_pct"
"57","Rr_P10_1_CELULAR_Yo","31","100","0","0","14","100","0","NaN","13","100","0","0","0","0","0","0","0","NaN","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"58","Rr_P10_1_CELULAR_EsposoEsposa","10","32.3","0","0","4","28.6","0","NaN","4","30.8","0","0","0","0","1","16.7","0","NaN","0","NaN","1","10","0","0","0","0","1","33.3","1","10","0","NaN","1","50","0","0","0","0","0","0","0","0","0","0","0","0","1","7.7","0","NaN"
"59","Rr_P10_1_CELULAR_PapaMama","14","45.2","0","0","5","35.7","0","NaN","6","46.2","0","0","1","20","0","0","0","NaN","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","1","20","0","0","0","0","0","0","0","0","0","NaN"
"60","Rr_P10_1_CELULAR_HijosHijas","3","9.7","1","5.9","2","14.3","0","NaN","2","15.4","1","14.3","0","0","0","0","0","NaN","0","NaN","0","0","0","0","0","0","1","33.3","0","0","0","NaN","0","0","0","0","0","0","1","20","0","0","0","0","0","0","0","0","0","NaN"
"61","Rr_P10_1_CELULAR_Otro","8","25.8","5","29.4","3","21.4","0","NaN","4","30.8","1","14.3","1","20","2","33.3","0","NaN","0","NaN","4","40","3","25","0","0","1","33.3","4","40","0","NaN","1","50","0","0","1","9.1","2","40","1","11.1","0","0","1","33.3","6","46.2","0","NaN"
"62","Total","31","100","17","100","14","100","0","NaN","13","100","7","100","5","100","6","100","0","NaN","0","NaN","10","100","12","100","6","100","3","100","10","100","0","NaN","2","100","3","100","11","100","5","100","9","100","6","100","3","100","13","100","0","NaN"
"63",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
